"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1569","Check displaying of dashboard page","LMS system","Wed May 13 18:49:44 UTC 2026","passed","Wed May 13 18:49:45 UTC 2026","Dashboard","Dashboard","",""
"","0","test_login","tests.pytest","Wed May 13 18:49:45 UTC 2026","passed","Wed May 13 18:49:45 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_regression_case","tests.pytest","Wed May 13 18:49:44 UTC 2026","passed","Wed May 13 18:49:44 UTC 2026","","test_markers","",""
"","1413","Check displaying of empty courses list","LMS system","Wed May 13 18:49:39 UTC 2026","passed","Wed May 13 18:49:41 UTC 2026","Courses","Courses","",""
"","1306","Navigation from login page to registration page","LMS system","Wed May 13 18:49:36 UTC 2026","passed","Wed May 13 18:49:37 UTC 2026","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Wed May 13 18:49:44 UTC 2026","passed","Wed May 13 18:49:44 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","Wed May 13 18:49:44 UTC 2026","passed","Wed May 13 18:49:44 UTC 2026","TestUserAuthentication","test_markers","",""
"","2520","Create course","LMS system","Wed May 13 18:49:41 UTC 2026","passed","Wed May 13 18:49:43 UTC 2026","Courses","Courses","",""
"","1715","Registration with correct email, username and password","LMS system","Wed May 13 18:49:37 UTC 2026","passed","Wed May 13 18:49:39 UTC 2026","Registration","Authentication","",""
"","1769","User login with wrong email or password","LMS system","Wed May 13 18:49:34 UTC 2026","passed","Wed May 13 18:49:36 UTC 2026","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Wed May 13 18:49:44 UTC 2026","passed","Wed May 13 18:49:44 UTC 2026","","test_markers","",""
"","2819","test_edit_course[chromium]","LMS system","Wed May 13 18:49:41 UTC 2026","passed","Wed May 13 18:49:44 UTC 2026","Courses","Courses","",""
"","3326","User login with correct email or password","LMS system","Wed May 13 18:49:32 UTC 2026","passed","Wed May 13 18:49:35 UTC 2026","Authorization","Authentication","",""
"","1527","User login with wrong email or password","LMS system","Wed May 13 18:49:36 UTC 2026","passed","Wed May 13 18:49:37 UTC 2026","Authorization","Authentication","",""
"","1848","User login with wrong email or password","LMS system","Wed May 13 18:49:32 UTC 2026","passed","Wed May 13 18:49:34 UTC 2026","Authorization","Authentication","",""
