"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2688","test_edit_course[chromium]","LMS system","Sun Jun 28 11:09:50 UTC 2026","passed","Sun Jun 28 11:09:53 UTC 2026","Courses","Courses","",""
"","3093","User login with correct email or password","LMS system","Sun Jun 28 11:09:40 UTC 2026","passed","Sun Jun 28 11:09:44 UTC 2026","Authorization","Authentication","",""
"","1726","Check displaying of dashboard page","LMS system","Sun Jun 28 11:09:52 UTC 2026","passed","Sun Jun 28 11:09:54 UTC 2026","Dashboard","Dashboard","",""
"","1276","Check displaying of empty courses list","LMS system","Sun Jun 28 11:09:48 UTC 2026","passed","Sun Jun 28 11:09:50 UTC 2026","Courses","Courses","",""
"","1663","User login with wrong email or password","LMS system","Sun Jun 28 11:09:40 UTC 2026","passed","Sun Jun 28 11:09:42 UTC 2026","Authorization","Authentication","",""
"","1546","Registration with correct email, username and password","LMS system","Sun Jun 28 11:09:46 UTC 2026","passed","Sun Jun 28 11:09:48 UTC 2026","Registration","Authentication","",""
"","2304","Create course","LMS system","Sun Jun 28 11:09:49 UTC 2026","passed","Sun Jun 28 11:09:52 UTC 2026","Courses","Courses","",""
"","2014","User login with wrong email or password","LMS system","Sun Jun 28 11:09:44 UTC 2026","passed","Sun Jun 28 11:09:46 UTC 2026","Authorization","Authentication","",""
"","1782","User login with wrong email or password","LMS system","Sun Jun 28 11:09:42 UTC 2026","passed","Sun Jun 28 11:09:44 UTC 2026","Authorization","Authentication","",""
"","1889","Navigation from login page to registration page","LMS system","Sun Jun 28 11:09:45 UTC 2026","passed","Sun Jun 28 11:09:47 UTC 2026","Authorization","Authentication","",""
