"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_regression_case","tests.pytest","Wed May 13 17:06:04 UTC 2026","passed","Wed May 13 17:06:04 UTC 2026","","test_markers","",""
"","1","test_password_reset","tests.pytest","Wed May 13 17:06:04 UTC 2026","passed","Wed May 13 17:06:04 UTC 2026","TestUserAuthentication","test_markers","",""
"","1719","Registration with correct email, username and password","LMS system","Wed May 13 17:05:57 UTC 2026","passed","Wed May 13 17:05:59 UTC 2026","Registration","Authentication","",""
"","2410","Create course","LMS system","Wed May 13 17:06:01 UTC 2026","passed","Wed May 13 17:06:03 UTC 2026","Courses","Courses","",""
"","2732","test_edit_course[chromium]","LMS system","Wed May 13 17:06:01 UTC 2026","passed","Wed May 13 17:06:03 UTC 2026","Courses","Courses","",""
"","1","test_login","tests.pytest","Wed May 13 17:06:05 UTC 2026","passed","Wed May 13 17:06:05 UTC 2026","TestUserAuthentication","test_markers","",""
"","1731","User login with wrong email or password","LMS system","Wed May 13 17:05:54 UTC 2026","passed","Wed May 13 17:05:56 UTC 2026","Authorization","Authentication","",""
"","1521","Check displaying of dashboard page","LMS system","Wed May 13 17:06:03 UTC 2026","passed","Wed May 13 17:06:05 UTC 2026","Dashboard","Dashboard","",""
"","1313","Navigation from login page to registration page","LMS system","Wed May 13 17:05:56 UTC 2026","passed","Wed May 13 17:05:57 UTC 2026","Authorization","Authentication","",""
"","3267","User login with correct email or password","LMS system","Wed May 13 17:05:52 UTC 2026","passed","Wed May 13 17:05:55 UTC 2026","Authorization","Authentication","",""
"","1846","User login with wrong email or password","LMS system","Wed May 13 17:05:52 UTC 2026","passed","Wed May 13 17:05:54 UTC 2026","Authorization","Authentication","",""
"","1516","User login with wrong email or password","LMS system","Wed May 13 17:05:55 UTC 2026","passed","Wed May 13 17:05:57 UTC 2026","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Wed May 13 17:06:04 UTC 2026","passed","Wed May 13 17:06:04 UTC 2026","TestUserAuthentication","test_markers","",""
"","1388","Check displaying of empty courses list","LMS system","Wed May 13 17:05:59 UTC 2026","passed","Wed May 13 17:06:00 UTC 2026","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","Wed May 13 17:06:04 UTC 2026","passed","Wed May 13 17:06:04 UTC 2026","","test_markers","",""
