"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1481","Check displaying of empty courses list","LMS system","Sun Jun 28 11:02:00 UTC 2026","passed","Sun Jun 28 11:02:02 UTC 2026","Courses","Courses","",""
"","1358","Navigation from login page to registration page","LMS system","Sun Jun 28 11:01:57 UTC 2026","passed","Sun Jun 28 11:01:59 UTC 2026","Authorization","Authentication","",""
"","1630","Check displaying of dashboard page","LMS system","Sun Jun 28 11:02:05 UTC 2026","passed","Sun Jun 28 11:02:07 UTC 2026","Dashboard","Dashboard","",""
"","2889","Edit course","LMS system","Sun Jun 28 11:02:02 UTC 2026","passed","Sun Jun 28 11:02:05 UTC 2026","Courses","Courses","",""
"","1986","User login with wrong email or password","LMS system","Sun Jun 28 11:01:53 UTC 2026","passed","Sun Jun 28 11:01:55 UTC 2026","Authorization","Authentication","",""
"","1808","User login with wrong email or password","LMS system","Sun Jun 28 11:01:55 UTC 2026","passed","Sun Jun 28 11:01:57 UTC 2026","Authorization","Authentication","",""
"","2601","Create course","LMS system","Sun Jun 28 11:02:02 UTC 2026","passed","Sun Jun 28 11:02:05 UTC 2026","Courses","Courses","",""
"","1600","User login with wrong email or password","LMS system","Sun Jun 28 11:01:57 UTC 2026","passed","Sun Jun 28 11:01:58 UTC 2026","Authorization","Authentication","",""
"","3463","User login with correct email or password","LMS system","Sun Jun 28 11:01:53 UTC 2026","passed","Sun Jun 28 11:01:56 UTC 2026","Authorization","Authentication","",""
"","1751","Registration with correct email, username and password","LMS system","Sun Jun 28 11:01:58 UTC 2026","passed","Sun Jun 28 11:02:00 UTC 2026","Registration","Authentication","",""
