"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1732","User login with wrong email or password","LMS system","Thu Apr 16 09:44:24 UTC 2026","passed","Thu Apr 16 09:44:26 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Thu Apr 16 09:44:34 UTC 2026","passed","Thu Apr 16 09:44:34 UTC 2026","","test_markers","",""
"","1","test_login","tests.pytest","Thu Apr 16 09:44:36 UTC 2026","passed","Thu Apr 16 09:44:36 UTC 2026","TestUserAuthentication","test_markers","",""
"","3504","User login with correct email or password","LMS system","Thu Apr 16 09:44:22 UTC 2026","passed","Thu Apr 16 09:44:26 UTC 2026","Authorization","Authentication","",""
"","1495","User login with wrong email or password","LMS system","Thu Apr 16 09:44:26 UTC 2026","passed","Thu Apr 16 09:44:27 UTC 2026","Authorization","Authentication","",""
"","2574","Create course","LMS system","Thu Apr 16 09:44:31 UTC 2026","passed","Thu Apr 16 09:44:34 UTC 2026","Courses","Courses","",""
"","1483","Check displaying of dashboard page","LMS system","Thu Apr 16 09:44:34 UTC 2026","passed","Thu Apr 16 09:44:35 UTC 2026","Dashboard","Dashboard","",""
"","0","test_critical_login","tests.pytest","Thu Apr 16 09:44:34 UTC 2026","passed","Thu Apr 16 09:44:34 UTC 2026","","test_markers","",""
"","2717","test_edit_course[chromium]","LMS system","Thu Apr 16 09:44:31 UTC 2026","passed","Thu Apr 16 09:44:34 UTC 2026","Courses","Courses","",""
"","1710","Registration with correct email, username and password","LMS system","Thu Apr 16 09:44:28 UTC 2026","passed","Thu Apr 16 09:44:29 UTC 2026","Registration","Authentication","",""
"","1300","Navigation from login page to registration page","LMS system","Thu Apr 16 09:44:26 UTC 2026","passed","Thu Apr 16 09:44:28 UTC 2026","Authorization","Authentication","",""
"","2037","User login with wrong email or password","LMS system","Thu Apr 16 09:44:22 UTC 2026","passed","Thu Apr 16 09:44:24 UTC 2026","Authorization","Authentication","",""
"","1463","Check displaying of empty courses list","LMS system","Thu Apr 16 09:44:29 UTC 2026","passed","Thu Apr 16 09:44:31 UTC 2026","Courses","Courses","",""
"","0","test_logout","tests.pytest","Thu Apr 16 09:44:34 UTC 2026","passed","Thu Apr 16 09:44:34 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_password_reset","tests.pytest","Thu Apr 16 09:44:34 UTC 2026","passed","Thu Apr 16 09:44:34 UTC 2026","TestUserAuthentication","test_markers","",""
