"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_critical_login","tests.pytest","Wed May 13 18:57:02 UTC 2026","passed","Wed May 13 18:57:02 UTC 2026","","test_markers","",""
"","0","test_login","tests.pytest","Wed May 13 18:57:03 UTC 2026","passed","Wed May 13 18:57:03 UTC 2026","TestUserAuthentication","test_markers","",""
"","1682","Registration with correct email, username and password","LMS system","Wed May 13 18:56:56 UTC 2026","passed","Wed May 13 18:56:57 UTC 2026","Registration","Authentication","",""
"","1471","Check displaying of dashboard page","LMS system","Wed May 13 18:57:02 UTC 2026","passed","Wed May 13 18:57:03 UTC 2026","Dashboard","Dashboard","",""
"","2662","test_edit_course[chromium]","LMS system","Wed May 13 18:56:59 UTC 2026","passed","Wed May 13 18:57:02 UTC 2026","Courses","Courses","",""
"","1225","Navigation from login page to registration page","LMS system","Wed May 13 18:56:55 UTC 2026","passed","Wed May 13 18:56:56 UTC 2026","Authorization","Authentication","",""
"","1473","User login with wrong email or password","LMS system","Wed May 13 18:56:54 UTC 2026","passed","Wed May 13 18:56:55 UTC 2026","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Wed May 13 18:57:02 UTC 2026","passed","Wed May 13 18:57:02 UTC 2026","TestUserAuthentication","test_markers","",""
"","1327","Check displaying of empty courses list","LMS system","Wed May 13 18:56:57 UTC 2026","passed","Wed May 13 18:56:59 UTC 2026","Courses","Courses","",""
"","1678","User login with wrong email or password","LMS system","Wed May 13 18:56:53 UTC 2026","passed","Wed May 13 18:56:54 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Wed May 13 18:57:02 UTC 2026","passed","Wed May 13 18:57:02 UTC 2026","","test_markers","",""
"","2442","Create course","LMS system","Wed May 13 18:56:59 UTC 2026","passed","Wed May 13 18:57:01 UTC 2026","Courses","Courses","",""
"","0","test_logout","tests.pytest","Wed May 13 18:57:02 UTC 2026","passed","Wed May 13 18:57:02 UTC 2026","TestUserAuthentication","test_markers","",""
"","1823","User login with wrong email or password","LMS system","Wed May 13 18:56:50 UTC 2026","passed","Wed May 13 18:56:52 UTC 2026","Authorization","Authentication","",""
"","3197","User login with correct email or password","LMS system","Wed May 13 18:56:50 UTC 2026","passed","Wed May 13 18:56:54 UTC 2026","Authorization","Authentication","",""
