"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1423","Check displaying of dashboard page","LMS system","Thu Apr 16 17:48:38 UTC 2026","passed","Thu Apr 16 17:48:39 UTC 2026","Dashboard","Dashboard","",""
"","1266","Navigation from login page to registration page","LMS system","Thu Apr 16 17:48:30 UTC 2026","passed","Thu Apr 16 17:48:31 UTC 2026","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Thu Apr 16 17:48:38 UTC 2026","passed","Thu Apr 16 17:48:38 UTC 2026","","test_markers","",""
"","1389","Check displaying of empty courses list","LMS system","Thu Apr 16 17:48:33 UTC 2026","passed","Thu Apr 16 17:48:34 UTC 2026","Courses","Courses","",""
"","1913","User login with wrong email or password","LMS system","Thu Apr 16 17:48:25 UTC 2026","passed","Thu Apr 16 17:48:27 UTC 2026","Authorization","Authentication","",""
"","1889","User login with wrong email or password","LMS system","Thu Apr 16 17:48:29 UTC 2026","passed","Thu Apr 16 17:48:31 UTC 2026","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Thu Apr 16 17:48:38 UTC 2026","passed","Thu Apr 16 17:48:38 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_password_reset","tests.pytest","Thu Apr 16 17:48:38 UTC 2026","passed","Thu Apr 16 17:48:38 UTC 2026","TestUserAuthentication","test_markers","",""
"","1794","Registration with correct email, username and password","LMS system","Thu Apr 16 17:48:31 UTC 2026","passed","Thu Apr 16 17:48:33 UTC 2026","Registration","Authentication","",""
"","0","test_login","tests.pytest","Thu Apr 16 17:48:39 UTC 2026","passed","Thu Apr 16 17:48:39 UTC 2026","TestUserAuthentication","test_markers","",""
"","1687","User login with wrong email or password","LMS system","Thu Apr 16 17:48:28 UTC 2026","passed","Thu Apr 16 17:48:29 UTC 2026","Authorization","Authentication","",""
"","2532","Create course","LMS system","Thu Apr 16 17:48:35 UTC 2026","passed","Thu Apr 16 17:48:37 UTC 2026","Courses","Courses","",""
"","2682","test_edit_course[chromium]","LMS system","Thu Apr 16 17:48:35 UTC 2026","passed","Thu Apr 16 17:48:37 UTC 2026","Courses","Courses","",""
"","3245","User login with correct email or password","LMS system","Thu Apr 16 17:48:25 UTC 2026","passed","Thu Apr 16 17:48:29 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Thu Apr 16 17:48:38 UTC 2026","passed","Thu Apr 16 17:48:38 UTC 2026","","test_markers","",""
