"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1710","User login with wrong email or password","LMS system","Thu Apr 16 15:49:07 UTC 2026","passed","Thu Apr 16 15:49:09 UTC 2026","Authorization","Authentication","",""
"","1293","Navigation from login page to registration page","LMS system","Thu Apr 16 15:49:09 UTC 2026","passed","Thu Apr 16 15:49:10 UTC 2026","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Thu Apr 16 15:49:17 UTC 2026","passed","Thu Apr 16 15:49:17 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_password_reset","tests.pytest","Thu Apr 16 15:49:17 UTC 2026","passed","Thu Apr 16 15:49:17 UTC 2026","TestUserAuthentication","test_markers","",""
"","1873","Check displaying of dashboard page","LMS system","Thu Apr 16 15:49:17 UTC 2026","passed","Thu Apr 16 15:49:19 UTC 2026","Dashboard","Dashboard","",""
"","2479","Create course","LMS system","Thu Apr 16 15:49:13 UTC 2026","passed","Thu Apr 16 15:49:16 UTC 2026","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Thu Apr 16 15:49:17 UTC 2026","passed","Thu Apr 16 15:49:17 UTC 2026","","test_markers","",""
"","3122","User login with correct email or password","LMS system","Thu Apr 16 15:49:05 UTC 2026","passed","Thu Apr 16 15:49:08 UTC 2026","Authorization","Authentication","",""
"","1823","User login with wrong email or password","LMS system","Thu Apr 16 15:49:05 UTC 2026","passed","Thu Apr 16 15:49:06 UTC 2026","Authorization","Authentication","",""
"","1596","Registration with correct email, username and password","LMS system","Thu Apr 16 15:49:10 UTC 2026","passed","Thu Apr 16 15:49:11 UTC 2026","Registration","Authentication","",""
"","0","test_login","tests.pytest","Thu Apr 16 15:49:19 UTC 2026","passed","Thu Apr 16 15:49:19 UTC 2026","TestUserAuthentication","test_markers","",""
"","1556","User login with wrong email or password","LMS system","Thu Apr 16 15:49:08 UTC 2026","passed","Thu Apr 16 15:49:10 UTC 2026","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Thu Apr 16 15:49:17 UTC 2026","passed","Thu Apr 16 15:49:17 UTC 2026","","test_markers","",""
"","3106","test_edit_course[chromium]","LMS system","Thu Apr 16 15:49:14 UTC 2026","passed","Thu Apr 16 15:49:17 UTC 2026","Courses","Courses","",""
"","1328","Check displaying of empty courses list","LMS system","Thu Apr 16 15:49:12 UTC 2026","passed","Thu Apr 16 15:49:13 UTC 2026","Courses","Courses","",""
