"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1756","User login with wrong email or password","LMS system","Sun Jun 28 10:50:39 UTC 2026","passed","Sun Jun 28 10:50:40 UTC 2026","Authorization","Authentication","",""
"","1412","Check displaying of empty courses list","LMS system","Sun Jun 28 10:50:44 UTC 2026","passed","Sun Jun 28 10:50:45 UTC 2026","Courses","Courses","",""
"","1734","Registration with correct email, username and password","LMS system","Sun Jun 28 10:50:42 UTC 2026","passed","Sun Jun 28 10:50:44 UTC 2026","Registration","Authentication","",""
"","1423","Check displaying of dashboard page","LMS system","Sun Jun 28 10:50:49 UTC 2026","passed","Sun Jun 28 10:50:50 UTC 2026","Dashboard","Dashboard","",""
"","1431","User login with wrong email or password","LMS system","Sun Jun 28 10:50:40 UTC 2026","passed","Sun Jun 28 10:50:42 UTC 2026","Authorization","Authentication","",""
"","2576","test_edit_course[chromium]","LMS system","Sun Jun 28 10:50:46 UTC 2026","passed","Sun Jun 28 10:50:49 UTC 2026","Courses","Courses","",""
"","1293","Navigation from login page to registration page","LMS system","Sun Jun 28 10:50:41 UTC 2026","passed","Sun Jun 28 10:50:42 UTC 2026","Authorization","Authentication","",""
"","2779","Create course","LMS system","Sun Jun 28 10:50:46 UTC 2026","passed","Sun Jun 28 10:50:49 UTC 2026","Courses","Courses","",""
"","1876","User login with wrong email or password","LMS system","Sun Jun 28 10:50:36 UTC 2026","passed","Sun Jun 28 10:50:38 UTC 2026","Authorization","Authentication","",""
"","3376","User login with correct email or password","LMS system","Sun Jun 28 10:50:36 UTC 2026","passed","Sun Jun 28 10:50:40 UTC 2026","Authorization","Authentication","",""
